,title,image,link,date,time
0,پوشش زنده بازی‌های پاراآسیایی,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_efe1e480-0773-4766-8fc6-6f52834e196b.jpeg,https://akharinkhabar.ir//sport/9798855/پوشش-زنده-بازی‌های-پاراآسیایی,1402-08-01,08:30:00
1,بازیکن داخل تصویر رو حدس بزن (9),https://app.akharinkhabar.ir/images/2023/10/21/Tumb_fbe0ee7b-0403-49dc-b120-27edc2ffe92a.jpeg,https://akharinkhabar.ir//sport/9796750/بازیکن-داخل-تصویر-رو-حدس-بزن-(۹),1402-07-30,21:00:00
2,هزینه‌های سنگین رشته قایقرانی!,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_947df72a-0471-4da7-81f8-ab677d3ba2c4.jpeg,https://akharinkhabar.ir//sport/9799435/هزینه‌های-سنگین-رشته-قایقرانی,1402-08-01,13:41:00
3,کری ستاره اسپانیایی برای رئال,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_ed731a65-17d0-4f39-9ca7-e7383819cfb8.jpeg,https://akharinkhabar.ir//sport/9799433/کری-ستاره-اسپانیایی-برای-رئال,1402-08-01,13:40:00
4,برنز پاراجودو به کوهکن رسید,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_6f18e921-5851-4ca1-b4dd-2dd29c8f41c8.jpeg,https://akharinkhabar.ir//sport/9799430/برنز-پاراجودو-به-کوهکن-رسید,1402-08-01,13:39:00
5,استقلال همچنان در ورزشگاه آزادی میزبانی می‌کند,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_1239309e-b029-4511-81bc-df23081cba8a.jpeg,https://akharinkhabar.ir//sport/9799426/استقلال-همچنان-در-ورزشگاه-آزادی-میزبانی-می‌کند,1402-08-01,13:35:00
6,آنچلوتی تا کی به این گل نزن فرصت می‌دهد!,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_1537ae27-cb94-4238-b94a-26580f94c3ca.jpeg,https://akharinkhabar.ir//sport/9799420/آنچلوتی-تا-کی-به-این-گل-نزن-فرصت-می‌دهد,1402-08-01,13:32:00
7,رنگ پیراهن‌ پرسپولیس و استقلال تاجیکستان مشخص شد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_8b7fd6a1-3777-4a03-870f-a80e1e79c31b.jpeg,https://akharinkhabar.ir//sport/9799415/رنگ-پیراهن‌-پرسپولیس-و-استقلال-تاجیکستان-مشخص-شد,1402-08-01,13:30:00
8,واکنش میرزازاده به نبرد با لوپز کوبایی در المپیک پاریس,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_1192a54d-446d-4749-9f9a-04489b0afd37.jpeg,https://akharinkhabar.ir//sport/9799410/واکنش-میرزازاده-به-نبرد-با-لوپز-کوبایی-در-المپیک-پاریس,1402-08-01,13:28:00
9,آغوش باز مانند بلینگام در برابر هواداران عصبانی,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_b17225d7-abdc-42de-8a28-ee99f3082f17.jpeg,https://akharinkhabar.ir//sport/9799405/آغوش-باز-مانند-بلینگام-در-برابر-هواداران-عصبانی,1402-08-01,13:26:00
10,گل مودریک به آرسنال شانسی بود؟,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_3d3061f1-9e13-4280-8985-d57304c2925d.jpeg,https://akharinkhabar.ir//sport/9799403/گل-مودریک-به-آرسنال-شانسی-بود,1402-08-01,13:24:00
11,واکنش جذاب کشتی‌گیران در هنگام پخش ویدیو,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_b315fbc2-23c2-405c-b1f8-1bdc78dbdfa6.jpeg,https://akharinkhabar.ir//sport/9799401/واکنش-جذاب-کشتی‌گیران-در-هنگام-پخش-ویدیو,1402-08-01,13:22:00
